0 0.0 77.5 56.75
1 0.0 56.75 35.5
2 0.0 21.5 1.5
3 0.0 45.25 22.0
4 0.0 31.0 78.5
5 0.0 78.75 69.25
6 0.0 23.5 20.75
7 0.0 75.5 8.25
8 0.0 93.25 83.0
9 0.0 76.75 44.25
10 0.0 29.25 68.75
11 0.0 79.5 52.0
12 0.0 93.25 34.75
13 0.0 67.75 7.5
14 0.0 59.0 46.25
15 0.0 35.75 4.75
16 0.0 72.0 15.25
17 0.0 1.75 36.25
18 0.0 38.25 29.75
19 0.0 67.75 59.5
20 0.0 66.0 52.5
21 0.0 8.75 29.0
22 0.0 11.0 30.75
23 0.0 31.75 83.75
24 0.0 95.75 1.25
25 0.0 56.5 45.75
26 0.0 66.25 92.25
27 0.0 71.25 45.25
28 0.0 80.0 72.75
29 0.0 58.25 27.75
30 0.0 40.0 88.0
31 0.0 21.0 10.25
32 0.0 12.0 57.25
33 0.0 57.75 93.0
34 0.0 12.0 44.25
35 0.0 55.75 35.5
36 0.0 60.5 95.25
37 0.0 82.0 2.75
38 0.0 63.5 41.25
39 0.0 47.5 72.0
40 0.0 3.75 91.0
41 0.0 62.5 57.5
42 0.0 57.75 34.25
43 0.0 93.25 69.75
44 0.0 13.25 39.75
45 0.0 32.5 96.5
46 0.0 16.75 54.5
47 0.0 72.5 2.25
48 0.0 74.25 79.5
49 0.0 88.5 38.75
